profile,threads,iterations_per_thread,total_ops,work,mode,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
sync_heavy,16,25000,400000,0,monitor,8,0,0.31,2176,0.75,2.58,302971426,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,baseline,8,0,0.04,1920,0.07,0.39,40082089,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,baseline,9,0,0.04,1792,0.05,0.4,39781189,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,monitor,9,0,0.3,2176,0.75,2.63,292173836,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,monitor,10,0,0.3,2176,0.74,2.6,286194432,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,baseline,10,0,0.04,1792,0.04,0.42,39378577,PASS,,,,,,,,
mixed,1,400000,400000,100,baseline,1,0,0.13,1792,0.12,0.0,129729388,PASS,,,,,,,,
mixed,1,400000,400000,100,monitor,1,0,0.32,1792,0.43,0.2,320702131,PASS,1200002,1195922,4080,3399,DEGRADED,8,1,0
mixed,1,400000,400000,100,monitor,2,0,0.31,1792,0.44,0.16,306986951,PASS,1200002,1199813,189,157,DEGRADED,2,1,0
mixed,1,400000,400000,100,baseline,2,0,0.13,1792,0.12,0.0,128097989,PASS,,,,,,,,
mixed,1,400000,400000,100,baseline,3,0,0.13,1792,0.12,0.0,127848530,PASS,,,,,,,,
mixed,1,400000,400000,100,monitor,3,0,0.34,1792,0.43,0.24,340712334,PASS,1200002,1195657,4345,3620,DEGRADED,4,1,0
mixed,1,400000,400000,100,monitor,4,0,0.31,1792,0.39,0.22,309728131,PASS,1200002,1198314,1688,1406,DEGRADED,2,1,0
mixed,1,400000,400000,100,baseline,4,0,0.13,1792,0.12,0.0,129086362,PASS,,,,,,,,
mixed,1,400000,400000,100,baseline,5,0,0.13,1792,0.13,0.0,127895949,PASS,,,,,,,,
mixed,1,400000,400000,100,monitor,5,0,0.32,1792,0.42,0.21,319089129,PASS,1200002,1200002,0,0,COMPLETE,0,0,0
mixed,1,400000,400000,100,monitor,6,0,0.31,1792,0.41,0.2,311213561,PASS,1200002,1161727,38275,31895,DEGRADED,17,1,0
mixed,1,400000,400000,100,baseline,6,0,0.13,1792,0.12,0.0,129578703,PASS,,,,,,,,
mixed,1,400000,400000,100,baseline,7,0,0.14,1792,0.13,0.0,139679575,PASS,,,,,,,,
mixed,1,400000,400000,100,monitor,7,0,0.32,1792,0.42,0.2,314399746,PASS,1200002,1180343,19659,16382,DEGRADED,3,1,0
mixed,1,400000,400000,100,monitor,8,0,0.3,1792,0.39,0.2,302710943,PASS,1200002,1193980,6022,5018,DEGRADED,9,1,0
mixed,1,400000,400000,100,baseline,8,0,0.12,1792,0.12,0.0,129558975,PASS,,,,,,,,
mixed,1,400000,400000,100,baseline,9,0,0.13,1792,0.13,0.0,134082014,PASS,,,,,,,,
mixed,1,400000,400000,100,monitor,9,0,0.33,1792,0.48,0.19,337753964,PASS,1200002,1194723,5279,4399,DEGRADED,7,1,0
mixed,1,400000,400000,100,monitor,10,0,0.31,1792,0.46,0.18,327413001,PASS,1200002,1176148,23854,19878,DEGRADED,12,1,0
mixed,1,400000,400000,100,baseline,10,0,0.13,1792,0.12,0.0,132191623,PASS,,,,,,,,
mixed,2,200000,400000,100,baseline,1,0,0.22,1792,0.17,0.13,223680833,PASS,,,,,,,,
mixed,2,200000,400000,100,monitor,1,0,0.42,1792,0.54,0.51,428293075,PASS,1200004,1197761,2243,1869,DEGRADED,4,2,0
mixed,2,200000,400000,100,monitor,2,0,0.41,1792,0.58,0.45,419749386,PASS,1200004,1200004,0,0,COMPLETE,0,0,0
mixed,2,200000,400000,100,baseline,2,0,0.23,1792,0.18,0.14,239324196,PASS,,,,,,,,
mixed,2,200000,400000,100,baseline,3,0,0.26,1664,0.2,0.16,267926755,PASS,,,,,,,,
mixed,2,200000,400000,100,monitor,3,0,0.44,1792,0.5,0.59,445842073,PASS,1200004,1196586,3418,2848,DEGRADED,2,1,0
mixed,2,200000,400000,100,monitor,4,0,0.42,1792,0.56,0.49,424432996,PASS,1200004,1197857,2147,1789,DEGRADED,4,1,0
mixed,2,200000,400000,100,baseline,4,0,0.24,1792,0.19,0.14,241982050,PASS,,,,,,,,
mixed,2,200000,400000,100,baseline,5,0,0.25,1792,0.17,0.15,232995323,PASS,,,,,,,,
mixed,2,200000,400000,100,monitor,5,0,0.42,1792,0.51,0.54,425702893,PASS,1200004,1196501,3503,2919,DEGRADED,8,2,0
mixed,2,200000,400000,100,monitor,6,0,0.43,1792,0.58,0.49,437846485,PASS,1200004,1165411,34593,28827,DEGRADED,8,2,0
mixed,2,200000,400000,100,baseline,6,0,0.23,1664,0.23,0.09,236828950,PASS,,,,,,,,
mixed,2,200000,400000,100,baseline,7,0,0.21,1792,0.19,0.1,215401487,PASS,,,,,,,,
mixed,2,200000,400000,100,monitor,7,0,0.44,1792,0.52,0.56,441092493,PASS,1200004,1194171,5833,4860,DEGRADED,6,2,0
mixed,2,200000,400000,100,monitor,8,0,0.42,1792,0.5,0.54,426042987,PASS,1200004,1198094,1910,1591,DEGRADED,5,2,0
mixed,2,200000,400000,100,baseline,8,0,0.18,1664,0.18,0.08,188708792,PASS,,,,,,,,
mixed,2,200000,400000,100,baseline,9,0,0.21,1792,0.19,0.1,211129320,PASS,,,,,,,,
mixed,2,200000,400000,100,monitor,9,0,0.43,1792,0.58,0.48,432272570,PASS,1200004,1195855,4149,3457,DEGRADED,10,2,0
